pixel_id,clase_de_cobertura
1,1. Formación Forestal
3,1.1. Bosque
4,1.2. Bosque abierto
5,1.3. Manglar
6,1.4. Bosque inundable
9,3.3 Silvicultura
10,2. Formación natural no forestal
11,2.1. Formación natural no forestal inundable
12,2.2. Herbazal
13,2.4. Otra formación natural no forestal
14,3. Agropecuaria y silvicultura
21,3.5 Mosaico de agricultura y/o pastos
22,4. Área sin vegetación
23,"4.1. Playa, duna o banco de arena"
24,4.2. Infraestructura urbana
25,4.5. Otra área antrópica sin vegetación
26,5. Cuerpo de agua
27,6. No observado
29,2.3. Afloramiento rocoso
30,4.3. Minería
31,5.3 Acuicultura
33,"5.1 Río, lago u océano"
34,5.2 Glaciar
68,4.4. Otra área natural sin vegetación
